organization_id,email,phone,address
33,adopt@harfordshelter.org,(410) 836-1090,"2208 Connolly Road, Fallston, MD, 21047, US"
34,info@harveyshope.org,1234567890,"Hudson, NH, 03051, US"
35,fourpreciouspaws1@yahoo.com,(765) 450-6750,"3117 S. LaFountain, Kokomo, IN, 46902, US"
36,info@harveyshope.org,1234567890,"Hudson, NH, 03051, US"
37,eaplevergreen@eapl.com,(303) 674-6442,"PO Box 2517, Westminster, CO, 80021, US"
38,info@rebeldogsdetroit.com,(313) 338-4398,"Detroit, MI, 48202, US"
39,animalmedicalcenterkc@gmail.com,(816) 333-9000,"Kansas City , MO, 64114, US"
40,adopt@msrnt.com,1234567890,"P.O. Box 112341, Carrollton, TX, 75011, US"
41,info@underdogpetrescue.org,608-224-0018,"231 S Fair Oaks Ave, Madison, WI, 53704, US"
42,blackhathumane@gmail.com,(970) 739-0537,"1121 S. Plaza Way, Flagstaff, AZ, 86001, US"
43,adopt@onetail.org,7085550000,"Chicago, IL, 60647, US"
44,pathwaysforpaws@yahoo.com,(520) 444-7803,"TUCSON, AZ, 85719, US"
45,lovingpetinnadoptions@gmail.com,(336) 393-0000,"1589 Skeet Club Rd., Suite 102-111, High Point, NC, 27265, US"
46,rescuerovers@gmail.com,(435) 565-4031  ,"PO Box 71551, Salt Lake City, UT, 84171, US"
47,rescue@healingspecies.org,803-535-6543 ,"P.O. Box 1202, Orangeburg, SC, 29116, US"
48,adopt@harfordshelter.org,(410) 836-1090,"2208 Connolly Road, Fallston, MD, 21047, US"
49,cbhsadoption@mchsi.com,319-232-6887 ,"1166 W Airline HWY, Waterloo, IA, 50703, US"
50,newyork@louieslegacy.org,(646) 397-5527,"Staten Island, NY, 10302, US"
51,Rescue@tvgrr.com,(855) 558-3100,"P.O. Box 32973, Knoxville, TN, 37930, US"
52,jpr@jenniferspetrescue.com,(770) 505-3261,"2271 McPherson Church Road, Dallas, GA, 30132, US"
53,abd@gmail.com,(803) 776-7387,"Columbia, SC, 29209, US"
54,wcras@wilco.org,512-943-3322  ,"1855 SE Inner Loop, Georgetown, TX, 78626, US"
55,dawnaa@pacbell.net,1234567890,"reno, NV, 89511, US"
56,shelter@elkocitynv.gov,(775) 777-7333,"2210 Pinion Road, Elko, NV, 89801, US"
57,shelter-IN35@petfinder.com,1234567890,"2219 Crystal St., Anderson, IN, 46012, US"
58,info@homefurgood.org,(602) 971-1334,"10220 N 32nd St., Phoenix, AZ, 85028, US"
59,info@highlandlakescaninerescue.org,(830) 693-0569,"Marble Falls, TX, 78654, US"
60,Info@sumnerhumane.org,(615) 822-0061,"16 Volunteer Dr., P.O. Box 2412, Hendersonville, TN, 37075, US"
61,frontdesk@arlmarshalltown.com,(641) 753-9046,"1921 Taylor Ave., Marshalltown, IA, 50158, US"
62,Savealifepetres@aol.com,(407) 952-1037,"PO Box 623341, Oviedo, FL, 32762, US"
63,pgawaep4@gmail.com,(915) 598-0411,"14911 McCracken Drive, El Paso, TX, 79938, US"
64,laurel@town.meeker.co.us,970-878-4968,"109 3rd Street, Meeker, CO, 81641, US"
65,fftfrescue@gmail.com,(719) 849-0918,"Colorado Springs, CO, 80918, US"
66,inquiries@rescue4all.org,1234567890,"Spokane, WA, 99205, US"
67,lhkyrescue@gmail.com,1234567890,"Cincinnati, OH, 45211, US"
68,tvonseggern@ci.montrose.co.us,(970) 240-1487,"3383 N. Townsend Avenue, Montrose, CO, 81401, US"
69,mgmt@washingtonpashelter.org,724-222-7387,"1527 Route 136, PO BOX 66, 1527 Route 136, PO BOX 66, Eighty Four, PA, 15330, US"
70,susand@4rfstreetvets.org,1234567890,"Sacramento, CA, 95817, US"
71,adopt@onetail.org,7085550000,"Chicago, IL, 60647, US"
72,dog_it_dig_it_rescue@yahoo.com,(812) 264-7239,"Terre Haute, IN, 47802, US"
73,orphanannierescue@gmail.com,1234567890,"Atlanta, GA, 30341, US"
74,dreamhouserescue@yahoo.com,1234567890,"Norwood, OH, 45212, US"
75,adopt@onetail.org,7085550000,"Chicago, IL, 60647, US"
76,motleyrescue@gmail.com,1234567890,"Manchester, NH, 03102, US"
77,euclidpetpals2@yahoo.com,216-289-2057,"25100 Lakeland Blvd., Euclid, OH, 44132, US"
78,rescue@heavenlypawsmi.com,1234567890,"Rochester Hills, MI, 48309, US"
79,handsheartspaws@cox.net,1234567890,"Omaha, NE, 68106, US"
80,glorybegood@gmail.com,(214) 682-0095,"Farmersville, TX, 75442, US"
81,abe@gmail.com,(704) 736-4125,"Lincolnton, NC, 28092, US"
82,info@allforonepetrescue.org,(561) 228-4550,"P.O. Box 213325, Royal Palm Beach, FL, 33421, US"
83,adoption@i-wag.com,(770) 562-5228,"Decatur, GA, 30030, US"
84,eaplevergreen@eapl.com,(303) 674-6442,"P. O. Box 2517, Evergreen, CO, 80437, US"
85,info@underdogpetrescue.org,608-224-0018,"231 S Fair Oaks Ave, Madison, WI, 53704, US"
86,adoptions.schs@gmail.com,502-863-3279,"751 Slone Drive, Suite 13, Georgetown, KY, 40324, US"
87,madeline@sheprescue.org,1234567890,"3016 S. Hill street, Los Angeles, CA, 90007, US"
88,dogs@sosarl.org,1234567890,"PO BOX 498, Wakefield, RI, 02880, US"
89,jpr@jenniferspetrescue.com,(770) 505-3261,"2271 McPherson Church Road, Dallas, GA, 30132, US"
90,catkins_wi@yahoo.com,(715) 762-0122  ,"N15262 Oak RD, Park Falls, WI, 54552, US"
91,thistle540@cs.com,1234567890,"PO Box 2467, Cordova, TN, 38088, US"
92,info@homeatlasths.org,(541) 296-5189,"200 River Road, The Dalles, OR, 97058, US"
93,freedomunchainedinc@gmail.com,919-757-4145,"Turkey, NC, 28393, US"
94,dogs@sosarl.org,1234567890,"PO BOX 498, Wakefield, RI, 02880, US"
95,info@kentanimalshelter.com,631-727-5731,"2259 River Rd., Calverton, NY, 11933, US"
96,info@safehavenanimalrescue.org,1234567890,"PO Box 76089, OKC, OK 73147, Warr Acres, OK, 73122, US"
97,contact@lynchburghumane.org,(434) 448-0088,"Lynchburg, VA, 24502, US"
98,pets4adoption@yahoo.com,(605) 223-2287,"1530 N Lowell Avenue, PO Box 954, Pierre, SD, 57501, US"
99,eaplevergreen@eapl.com,(303) 674-6442,"P. O. Box 2517, Evergreen, CO, 80437, US"
100,info@animalhouseshelter.com,(847) 961-5541,"13005 Ernesti Rd, Huntley, IL, 60142, US"
101,abf@gmail.com,(803) 776-7387,"Columbia, SC, 29209, US"
102,sjfelix1226@gmail.com,1234567890,"Cincinnati, OH, 45246, US"
103,pets@humanesocietyofvaldosta.org,(229) 247-3266,"1740 W Gordon St, Valdosta , GA, 31601, US"
104,adopt@doggoneseattle.org,1234567890,"Seattle, WA, 98165, US"
105,info@allforonepetrescue.org,(561) 228-4550,"P.O. Box 213325, Royal Palm Beach, FL, 33421, US"
106,inquiries@rescue4all.org,1234567890,"Spokane, WA, 99205, US"
107,belmontcoshelter@att.net,(740) 695-4708,"45244 National Road West, Saint Clairsville, OH, 43950, US"
108,dogs@sosarl.org,1234567890,"PO BOX 498, Wakefield, RI, 02880, US"
109,Savealifepetres@aol.com,(407) 952-1037,"PO Box 623341, Oviedo, FL, 32762, US"
110,adopt@ilovefamilydog.org,1234567890,"San Francisco, CA, 94103, US"
111,richlandcountypets@yahoo.com,(419) 774-5892,"810 North Home Rd., N.W. corner of the Richland Co. Fairgrou, Mansfield, OH, 44904, US"
112,happinessincrescue@gmail.com,(626) 820-3717,"Covina, CA, 91724, US"
113,pawsintheph@yahoo.com,(803) 285-1809,"222 Palmetto Kennel Ln., Lancaster, SC, 29720, US"
114,Savealifepetres@aol.com,(407) 952-1037,"PO Box 623341, Oviedo, FL, 32762, US"
115,callawayhumanesociety@gmail.com,(573) 826-5656,"P.O Box 795, Fulton, MO, 65251, US"
116,emotional.rescue1@outlook.com,1234567890,"Hastings, MN, 55033, US"
117,passionforpittiessd@gmail.com,(619) 884-4008,"San Diego, CA, 92154, US"
118,info@kentanimalshelter.com,631-727-5731,"2259 River Rd., Calverton, NY, 11933, US"
119,homelesspetsfoundation@gmail.com,(770) 971-0100,"1343 Gresham Rd, Marietta, GA, 30062, US"
120,c2dogz@ptd.net,1234567890,"Gardiner, NY, 12525, US"
121,underdogrescue17@gmail.com,(435) 260-8033,"Moab, UT, 84532, US"
122,info@harveyshope.org,1234567890,"Hudson, NH, 03051, US"
123,rescue@norsled.org,(800) 471-5822,"PO Box 30877, Walnut Creek, CA, 94598, US"
124,info@greatpyreneesrescuesociety.org,1234567890,"Port Orchard, WA, 98367, US"
125,info@tlchs.org,(706) 864-2817,"1735 Red Oak Flats Road, Dahlonega, GA, 30533, US"
126,info@azsmalldog.org,(602) 944-2440,"1102 W Hatcher Road, Phoenix, AZ, 85021, US"
127,info@safehavenanimalrescue.org,1234567890,"PO Box 76089, OKC, OK 73147, Warr Acres, OK, 73122, US"
128,handsheartspaws@cox.net,1234567890,"Omaha, NE, 68106, US"
129,rescueonespringfield@gmail.com,1234567890,"Springfield, MO, 65804, US"
130,adoptngl@gmail.com,1234567890,"East Dover, VT, 05341, US"
131,Cadams@spotslaststop.org,1234567890,"Prior Lake, MN, 55372, US"
132,info@nassauhumane.org,(904) 321-1647,"639 Airport Road, Fernandina Beach, FL, 32034, US"
133,straydogshelter@gmail.com,(903) 479-3497,"PO Box 1465, Gun Barrel City, TX, 75147, US"
134,mzkounnas@hotmail.com,1234567890,"San Diego, CA, 92130, US"
135,abg@gmail.com,505-768-1975 ,"8920 Lomas Blvd.  NE, Albuquerque, NM, 87112, US"
136,info@kearneyanimalshelter.com,(308) 237-7387,"3205 W. Hwy. 30, Kearney, NE, 68845, US"
137,pupperstolove@gmail.com,(608) 628-8766,"Evansville, WI, 53536, US"
138,info@harveyshope.org,1234567890,"Hudson, NH, 03051, US"
139,info@redcollar.org,1234567890,"945 McKinney Street, No. 424, Houston, TX, 77002, US"
140,crittersandrascals@gmail.com,(858) 602-2061,"Poway, CA, 92064, US"
141,rescuerovers@gmail.com,(435) 565-4031  ,"PO Box 71551, Salt Lake City, UT, 84171, US"
142,pawsintheph@yahoo.com,(803) 285-1809,"222 Palmetto Kennel Ln., Lancaster, SC, 29720, US"
143,maggiesmissionrescue@gmail.com,1234567890,"Wadsworth, OH, 44281, US"
144,vbpdac@vbgov.com,757-385-4444 ,"341 S. Birdneck Road, Virginia Beach, VA, 23451, US"
145,homelesspetsfoundation@gmail.com,(770) 971-0100,"1343 Gresham Rd, Marietta, GA, 30062, US"
146,fourpreciouspaws1@yahoo.com,(765) 450-6750,"3117 S. LaFountain, Kokomo, IN, 46902, US"
147,eaplevergreen@eapl.com,(303) 674-6442,"PO Box 2517, Westminster, CO, 80021, US"
148,lendingahelpingpaw313@gmail.com,1234567890,"Ferndale, MI, 48220, US"
149,aalslidell@gmail.com,985-646-4267,"2700 Terrace Ave, Slidell, LA, 70458, US"
150,info@rchumanesociety.org,760-753-6413  ,"389 Requeza Street, Encinitas, CA, 92024, US"
151,inquiry@fouron.org,1234567890,"106 Oakridge Ave #58287, fayetteville, NC, 28305, US"
152,adopt@doggoneseattle.org,1234567890,"Seattle, WA, 98165, US"
153,adopt@ilovefamilydog.org,1234567890,"San Francisco, CA, 94103, US"
154,teresasavespets@gmail.com,(817) 392-1234,"4900 Martin Street, Fort Worth, TX, 76119, US"
155,info@bvspca.org,(302) 516-1000,"600 South Street, New Castle, DE, 19720, US"
156,eaplevergreen@eapl.com,(303) 674-6442,"PO Box 2517, Westminster, CO, 80021, US"
157,whs76384@gmail.com,940-552-5373  ,"P.O. Box 1665, 2801 Sullivan Street, Vernon, TX, 76384, US"
158,adopt@ilovefamilydog.org,1234567890,"San Francisco, CA, 94103, US"
159,adopt@alwaysandfurever.love,(913) 337-3259,"Spring Hill, KS, 66083, US"
160,secondhanddogrescue@gmail.com,(585) 305-5111,"1041 Culver Rd, Storefront, Rochester, NY, 14609, US"
161,bridgesdogsmail@gmail.com,(732) 859-8915,"Forked River, NJ, 08731, US"
162,carerescue47438@gmail.com,8126641629,"Jasonville, IN, 47438, US"
163,miranda@heavenafterhellrescue.org,317-455-5758,"6819 W. 21st St., Indianapolis, IN, 46214, US"
164,adoption@metroanimalshelter.org,(205) 752-9101,"3140  35th Street, Tuscaloosa, AL, 35401, US"
165,catkins_wi@yahoo.com,(715) 762-0122  ,"N15262 Oak RD, Park Falls, WI, 54552, US"
166,peace4pawspresident@gmail.com,(201) 280-8696,"Westwood, NJ, 07675, US"
167,adoptions@wagginghearts.org,(855) 924-4464,"Hainesville, IL, 60030, US"
168,starfishanimalrescuer@gmail.com,1234567890,"Bolingbrook, IL, 60440, US"
169,NoahsArkRescuePS@yahoo.com,(484) 713-8336,"Glenmoore, PA, 19343, US"
170,ContactUs@lifehouse4animals.org,502-875-3436,"14 Fido Court, Frankfort, KY, 40601, US"
171,mustangshelterfriends@gmail.com,(405) 578-4738,"Mustang, OK, 73064, US"
172,info@aparn.org,(480) 964-3126,"2036 N. Gilbert Rd., Ste. 2-160, Mesa, AZ, 85203, US"
173,homelesspetsfoundation@gmail.com,(770) 971-0100,"1343 Gresham Rd, Marietta, GA, 30062, US"
174,moultriehs@yahoo.com,(229) 985-5463,"Moultrie, GA, 31768, US"
175,inquiry@angelsrescue.org,(877) 404-5874,"Alpharetta, GA, 30009, US"
176,office@pethelpers.org,(843) 795-1110,"1447 Folly Road, Charleston, SC, 29412, US"
177,madeline@sheprescue.org,1234567890,"3016 S. Hill street, Los Angeles, CA, 90007, US"
178,info@rchumanesociety.org,760-753-6413  ,"389 Requeza Street, Encinitas, CA, 92024, US"
179,newyork@louieslegacy.org,(646) 397-5527,"Staten Island, NY, 10302, US"
180,kaeli@fchsmo.org,(636) 583-4300,"1222 West Main St., Union, MO, 63084, US"
181,inquiries@rescue4all.org,1234567890,"Spokane, WA, 99205, US"
182,straypawsrescuestl@gmail.com,(314) 254-3466,"Lake Saint Louis, MO, 63367, US"
183,info@homeatlasths.org,(541) 296-5189,"200 River Road, The Dalles, OR, 97058, US"
184,foccas@tampabay.rr.com,1234567890,"P.O. Box 641, Inverness, FL, 34451, US"
185,Lauren.G@poainc.org,1234567890,"144 Main Street Unit O, East Hartford, CT, 06118, US"
186,abh@gmail.com,(209) 768-3630,"14841 Mono Way, Sonora, CA, 95370, US"
187,rescuerovers@gmail.com,(435) 565-4031  ,"PO Box 71551, Salt Lake City, UT, 84171, US"
188,rudysrescueinquiries@gmail.com,1234567890,"Weatherford, TX, 76088, US"
189,info@fairhumane.org,(740) 687-0627,"1721 Granville Pike, www.fairhumane.org, Lancaster, OH, 43130, US"
190,beata778@yahoo.com,1234567890,"Middletown, CT, 06457, US"
191,info@ruffstartrescue.org,(763) 355-3981,"P.O. Box 129, Princeton, MN, 55371, US"
192,acowf@att.net,850-638-2082 ,"686 Highway 90, Chipley, FL, 32428, US"
193,adoption@landerpets.org,(307) 330-5200,"120 Chittim Rd, Lander, WY, 82520, US"
194,info@kentanimalshelter.com,631-727-5731,"2259 River Rd., Calverton, NY, 11933, US"
195,saveasmalldogrescue@gmail.com,760-269-4519  ,"PO  Box 290462, Phelan, CA, 92329, US"
196,lizzyshospice@gmail.com,1234567890,"PO Box 693, Dripping Springs, TX, 78620, US"
197,pstidmon@gmail.com,1234567890,"Meriden, CT, 06450, US"
198,adoptions@alexandriaanimals.org,703-746-4774,"4101 Eisenhower Ave., Alexandria, VA, 22304, US"
199,secondhanddogrescue@gmail.com,(585) 305-5111,"1041 Culver Rd, Storefront, Rochester, NY, 14609, US"
200,info@harveyshope.org,1234567890,"Hudson, NH, 03051, US"
201,info@NDLBrescue.org,(612) 354-6352,"PO Box 29461, Brooklyn Center, MN, 55429, US"
202,info@rescuecrew.org,(612) 299-2001,"Plymouth, MN, 55447, US"
203,abi@gmail.com,505-768-1975 ,"8920 Lomas Blvd.  NE, Albuquerque, NM, 87112, US"
204,adoptions@la-spca.org,(504) 368-5191,"455 F Edward Hebert Blvd., Belle Chasse, LA, 70037, US"
205,beaglesandbuddies@gmail.com,1234567890,"23430 US Hwy #18, Apple Valley, CA, 92307, US"
206,handsheartspaws@cox.net,1234567890,"Omaha, NE, 68106, US"
207,info@rchumanesociety.org,760-753-6413  ,"389 Requeza Street, Encinitas, CA, 92024, US"
208,adoptadog@faithfulfriends.us,(302) 427-8514,"12 Germay Drive, Wilmington, DE, 19804, US"
209,adopt@doggoneseattle.org,1234567890,"Seattle, WA, 98165, US"
210,luckypuppyrescue@aol.com,1234567890,"Argyle, NY, 12809, US"
211,pawsintheph@yahoo.com,(803) 285-1809,"222 Palmetto Kennel Ln., Lancaster, SC, 29720, US"
212,info@midlandshumanesociety.org,(712)396-2270,"1020 Railroad Avenue, Council Bluffs, IA, 51503, US"
213,steve@lovablepaws.org,(843) 422-1549,"24110 Whyte Hardee Blvd, Hardeeville, SC, 29927, US"
214,info@rchumanesociety.org,760-753-6413  ,"389 Requeza Street, Encinitas, CA, 92024, US"
215,chninquiries@caninehumane.org,(888) 436-2236 ext. 801,"Highland, MD, 20777, US"
216,redskyresq@gmail.com,(812) 216-6310,"Medora, IN, 47260, US"
217,gabi.drdr@gmail.com,1234567890,"PO Box 79, Gillsville, GA, 30543, US"
218,kierra@westvalleyhumanesociety.org,(208) 455-5920,"5801 Graye Lane, Caldwell, ID, 83607, US"
219,Wfahsociety@gmail.com,(225) 635-5801,"9946 W Feliciana Parkway, P O Box 2032, Saint Francisville, LA, 70775, US"
220,snipsaadoptions@gmail.com,(210) 237-9400,"PO Box 90325, San Antonio, TX, 78209, US"
221,adoptions@adopthope.org,1234567890,"Cedar Rapids, IA, 52405, US"
222,info@soca-fbc.org,(281) 849-7622,"P.O. Box 1595, Rosenberg, TX, 77471, US"
223,woodstockadoption715@gmail.com,859-277-7729,"843 Lane Allen Road, Lexington, KY, 40504, US"
224,adljones@icloud.com,1234567890,"Brunswick, Maine, Brunswick, ME, 04011, US"
225,info@untilhome.org,(719) 819-4663,"Fort Collins, CO, 80524, US"
226,c2dogz@ptd.net,1234567890,"Gardiner, NY, 12525, US"
227,pdeal@las-cruces.org,(575) 382-0018,"3551 Bataan Memorial West, Las Cruces, NM, 88012, US"
228,info@tailsfromtheheart.org,1234567890,"PO Box 250122, Plano, TX, 75025, US"
229,adopt@acctphilly.org,(267) 385-3800,"111 W. Hunting Park Ave., Philadelphia, PA, 19140, US"
230,info@ARCofmecostacounty.com,231-796-2683,"18400 220th Avenue, Big Rapids, MI, 49307, US"
231,info@harveyshope.org,1234567890,"Hudson, NH, 03051, US"
232,abbylynnblum@gmail.com,(321) 303-7076,"Osteen, FL, 32764, US"
233,rescue@fightingforthebullys.org,1234567890,"Knoxville, TN, 37922, US"
234,fortheloveofstrays@yahoo.com,(361) 462-7911,"P.O. Box 8122, Corpus Christi, TX, 78468, US"
235,info@rchumanesociety.org,760-753-6413  ,"389 Requeza Street, Encinitas, CA, 92024, US"
236,homelesspetsfoundation@gmail.com,(770) 971-0100,"1343 Gresham Rd, Marietta, GA, 30062, US"
237,info@nassauhumane.org,(904) 321-1647,"639 Airport Road, Fernandina Beach, FL, 32034, US"
238,Animal.Services@cityofdenton.com,(940) 349-7594,"3717 N Elm Street, Denton, TX, 76205, US"
239,Friendssheltercockecounty@gmail.com,(423) 532-8475,"420 Humane Way, Newport, TN, 37821, US"
240,abj@gmail.com,(602) 506-2765,"2500 S. 27th Avenue, (27th and Durango), Phoenix, AZ, 85009, US"
241,barn@lonestarmail.net,1234567890,"Whitewright, TX, 75491, US"
242,info@wwprca.com,(530) 895-8888,"2156 Pillsbury Road, #155, Chico, CA, 95973, US"
243,vbpdac@vbgov.com,757-385-4444 ,"341 S. Birdneck Road, Virginia Beach, VA, 23451, US"
244,abk@gmail.com,(317) 781-0755,"1614 W Edgewood Ave, Indianapolis, IN, 46247, US"
245,info@rescuecrew.org,(612) 299-2001,"Plymouth, MN, 55447, US"
246,jonahsarkanimalrescue@gmail.com,(732) 232-5954,"Whiting, NJ, 08759, US"
247,rachaelleighton@yahoo.com,605-999-1111,"PO Box 2321, Sioux Falls, SD, 57101, US"
248,debbien@plano.gov,(972) 769-4360,"4028 Plano Parkway, Plano, TX, 75093, US"
249,info@underdogpetrescue.org,608-224-0018,"231 S Fair Oaks Ave, Madison, WI, 53704, US"
250,adoptions@pawshumane.org,(706) 565-0035,"4900 Milgen Rd., Columbus, GA, 31908, US"
251,adopt.macc@nashville.gov,(615) 862-7928,"5125 Harding Place, Nashville, TN, 37211, US"
252,adoptions@wagginghearts.org,(855) 924-4464,"Hainesville, IL, 60030, US"
253,slpersad@comcast.net,(304) 267-8389,"554 Charles Town Road, Martinsburg, WV, 25405, US"
254,crpups@ptd.net,111-111-1111,"Newfoundland, PA, 18445, US"
255,JARM1234@earthlink.net,(843) 726-7799,"1352 Carters Mill Road, PO Box 1179, Ridgeland, SC, 29936, US"
256,adoptions@wagginghearts.org,(855) 924-4464,"Hainesville, IL, 60030, US"
257,Animaladoptions@decatur-al.gov,(256) 341-4790,"300A Beltline Rd SW, Decatur, AL, 35601, US"
258,Pbnopawsleftbehindrescue@gmail.com,(561) 808-3331,"Boca Raton, FL, 33433, US"
259,adoptions@serenityanimalhospital.net,586-264-8387,"13800 15 Mile Rd, Sterling Heights, MI, 48312, US"
260,dashrescue00@gmail.com,1234567890,"Ashville, OH, 43103, US"
261,inquiry@angelsrescue.org,(877) 404-5874,"Alpharetta, GA, 30009, US"
262,adoptngl@gmail.com,1234567890,"East Dover, VT, 05341, US"
263,straypawsrescuestl@gmail.com,(314) 254-3466,"Lake Saint Louis, MO, 63367, US"
264,info@rescuedogsrocknyc.org,1234567890,"New York, NY, 10075, US"
265,sjfelix1226@gmail.com,1234567890,"Cincinnati, OH, 45246, US"
266,rescuerovers@gmail.com,(435) 565-4031  ,"PO Box 71551, Salt Lake City, UT, 84171, US"
267,pganimals@princegeorgecountyva.gov,(804) 991-3200,"8391 County Drive, Disputanta, VA 23842, Prince George, VA, 23875, US"
268,abl@gmail.com,(313) 459-1419,"P.O Box 216, Allen Park, MI, 48101, US"
269,met@otelco.net,1234567890,"P.O. Box 304, Locust Fork, AL, 35097, US"
270,Info@sumnerhumane.org,(615) 822-0061,"16 Volunteer Dr., P.O. Box 2412, Hendersonville, TN, 37075, US"
271,wmiller@redlandspolice.org,(909) 798-7644,"504 North Kansas St., Redlands, CA, 92373, US"
272,farfelsrescue@gmail.com,(303) 443-7711,"906 Pearl Street, Boulder, CO, 80302, US"
273,handsheartspaws@cox.net,1234567890,"Omaha, NE, 68106, US"
274,happy@tailsrescue.org,(612) 588-0188,"P.O. Box 2485, Maple Grove, MN, 55311, US"
275,adopt@seniorhearts.org,(412) 478-1529,"Bradfordwoods, PA, 15015, US"
276,adoption@i-wag.com,(770) 562-5228,"Decatur, GA, 30030, US"
277,blackhathumane@gmail.com,(970) 739-0537,"Albuquerque, NM, 87107, US"
278,info@centralvermonthumane.org,(802) 476-3811,"1589 Vermont Route 14S, East Montpelier, VT, 05651, US"
279,eaplevergreen@eapl.com,(303) 674-6442,"PO Box 2517, Westminster, CO, 80021, US"
280,Savealifepetres@aol.com,(407) 952-1037,"PO Box 623341, Oviedo, FL, 32762, US"
281,bluecollaredcanines@hotmail.com,(289) 673-1018,"15 reeds rd Cayuga, Niagara Falls, ON, L2G 6X6, CA"
282,eaplevergreen@eapl.com,(303) 674-6442,"PO Box 2517, Westminster, CO, 80021, US"
283,sjfelix1226@gmail.com,1234567890,"Cincinnati, OH, 45246, US"
284,yardleydogs2@aol.com,1234567890,"Newtown, PA, 18940, US"
285,wonderpawsrescue@gmail.com,1234567890,"Fort Lauderdale, FL, 33303, US"
286,kaska23@ptd.net,(570) 386-9241,"P.O. BOX 286, P.O. BOX 286, Schnecksville, PA, 18078, US"
287,jonahsarkanimalrescue@gmail.com,(732) 232-5954,"Whiting, NJ, 08759, US"
288,dconway1327@gmail.com,1234567890,"New Smyrna Beach, FL, 32168, US"
289,aalslidell@gmail.com,985-646-4267,"2700 Terrace Ave, Slidell, LA, 70458, US"
290,vetassistant@macleananimaladoptioncenter.org,(406) 727-7387,"900 25th Ave NE, Great Falls, MT, 59404, US"
291,abm@gmail.com,(803) 776-7387,"Columbia, SC, 29209, US"
292,info@rescuehaven.org,1234567890,"P.O. Box 266, Caldwell, NJ, 07006, US"
293,met@otelco.net,1234567890,"P.O. Box 304, Locust Fork, AL, 35097, US"
294,info@mc-spca.org,(518) 842-8050,"P.O. Box 484, SPCA Rd (off of State Highway 5S), Amsterdam, NY, 12010, US"
295,contact@socialteesnyc.org,1234567890,"Manhattan, NY, 10009, US"
296,animalservices@qac.org,(410) 827-7178,"201 Clay Dr, Queenstown, MD, 21658, US"
